Input,Python,Java,Js Experimental,Js Original
11, 0.0455,  0.0054,  0.0250,  0.0260
21, 0.0364,  0.0034,  0.0250,  0.0260
31, 0.0374,  0.0016,  0.0270,  0.0300
41, 0.154,  0.0002,  0.0270,  0.1750
51, 3.9146,  0.0003,  0.0270,  4.7840
61, ,  0.0003,  0.0270,  
71, ,  0.0010,  0.0280,  
81, ,  0.0004,  0.0270,  
91, ,  0.0001,  0.0270,  
101, ,  0.0004,  0.0270,  
111, ,  0.0001,  0.0270,  
121, ,  0.0054,  0.0270,  
131, ,  0.0002,  0.0280,  
141, ,  0.0010,  0.0270,  
151, ,  0.0003,  0.0280,  
161, ,  0.0001,  0.0270,  
171, ,  0.0001,  0.0270,  
181, ,  0.0001,  0.0270,  
191, ,  0.0004,  0.0270,  
201, ,  0.0004,  0.0270,  
211, ,  0.0002,  0.0270,  
221, ,  0.0001,  0.0270,  
231, ,  0.0001,  0.0270,  
241, ,  0.0017,  0.0280,  
251, ,  0.0005,  0.0270,  
261, ,  0.0005,  0.0270,  
271, ,  0.0003,  0.0270,  
281, ,  0.0002,  0.0300,  
291, ,  0.0002,  0.0300,  
301, ,  0.0004,  0.0280,  
311, ,  0.0022,  0.0270,  
321, ,  0.0003,  0.0270,  
331, ,  0.0002,  0.0270,  
341, ,  0.0003,  0.0310,  
351, ,  0.0002,  0.0270,  
361, ,  0.0002,  0.0260,  
371, ,  0.0003,  0.0270,  
381, ,  0.0003,  0.0270,  
391, ,  0.0012,  0.0270,  
401, ,  0.0003,  0.0270,  
